course,geoLevel,geoName,sex,stage,value,sourceId
2024-2025,country,España,total,TOTAL,67832,educabase-otros-03-2024-2025
2024-2025,country,España,total,E. INFANTIL 2.º CICLO,369,educabase-otros-03-2024-2025
2024-2025,country,España,total,TOTAL PRIMARIA,28176,educabase-otros-03-2024-2025
2024-2025,country,España,total,E. Primaria 1.º,1604,educabase-otros-03-2024-2025
2024-2025,country,España,total,E. Primaria 2.º,3994,educabase-otros-03-2024-2025
2024-2025,country,España,total,E. Primaria 3.º,5216,educabase-otros-03-2024-2025
2024-2025,country,España,total,E. Primaria 4.º,5282,educabase-otros-03-2024-2025
2024-2025,country,España,total,E. Primaria 5.º,5897,educabase-otros-03-2024-2025
2024-2025,country,España,total,E. Primaria 6.º,6183,educabase-otros-03-2024-2025
2024-2025,country,España,total,TOTAL ESO,28118,educabase-otros-03-2024-2025
2024-2025,country,España,total,1º E.S.O.,6278,educabase-otros-03-2024-2025
2024-2025,country,España,total,2º E.S.O.,7720,educabase-otros-03-2024-2025
2024-2025,country,España,total,3º E.S.O.,7029,educabase-otros-03-2024-2025
2024-2025,country,España,total,4º E.S.O.,7091,educabase-otros-03-2024-2025
2024-2025,country,España,total,BACHILLERATO,10368,educabase-otros-03-2024-2025
2024-2025,country,España,total,FP BÁSICA,50,educabase-otros-03-2024-2025
2024-2025,country,España,total,FP GRADO MEDIO,278,educabase-otros-03-2024-2025
2024-2025,country,España,total,FP GRADO SUPERIOR,473,educabase-otros-03-2024-2025
2024-2025,country,España,hombre,TOTAL,44194,educabase-otros-03-2024-2025
2024-2025,country,España,hombre,E. INFANTIL 2.º CICLO,254,educabase-otros-03-2024-2025
2024-2025,country,España,hombre,TOTAL PRIMARIA,18651,educabase-otros-03-2024-2025
2024-2025,country,España,hombre,E. Primaria 1.º,1058,educabase-otros-03-2024-2025
2024-2025,country,España,hombre,E. Primaria 2.º,2661,educabase-otros-03-2024-2025
2024-2025,country,España,hombre,E. Primaria 3.º,3448,educabase-otros-03-2024-2025
2024-2025,country,España,hombre,E. Primaria 4.º,3537,educabase-otros-03-2024-2025
2024-2025,country,España,hombre,E. Primaria 5.º,3865,educabase-otros-03-2024-2025
2024-2025,country,España,hombre,E. Primaria 6.º,4082,educabase-otros-03-2024-2025
2024-2025,country,España,hombre,TOTAL ESO,18086,educabase-otros-03-2024-2025
2024-2025,country,España,hombre,1º E.S.O.,4177,educabase-otros-03-2024-2025
2024-2025,country,España,hombre,2º E.S.O.,4950,educabase-otros-03-2024-2025
2024-2025,country,España,hombre,3º E.S.O.,4504,educabase-otros-03-2024-2025
2024-2025,country,España,hombre,4º E.S.O.,4455,educabase-otros-03-2024-2025
2024-2025,country,España,hombre,BACHILLERATO,6576,educabase-otros-03-2024-2025
2024-2025,country,España,hombre,FP BÁSICA,45,educabase-otros-03-2024-2025
2024-2025,country,España,hombre,FP GRADO MEDIO,228,educabase-otros-03-2024-2025
2024-2025,country,España,hombre,FP GRADO SUPERIOR,354,educabase-otros-03-2024-2025
2024-2025,country,España,mujer,TOTAL,23638,educabase-otros-03-2024-2025
2024-2025,country,España,mujer,E. INFANTIL 2.º CICLO,115,educabase-otros-03-2024-2025
2024-2025,country,España,mujer,TOTAL PRIMARIA,9525,educabase-otros-03-2024-2025
2024-2025,country,España,mujer,E. Primaria 1.º,546,educabase-otros-03-2024-2025
2024-2025,country,España,mujer,E. Primaria 2.º,1333,educabase-otros-03-2024-2025
2024-2025,country,España,mujer,E. Primaria 3.º,1768,educabase-otros-03-2024-2025
2024-2025,country,España,mujer,E. Primaria 4.º,1745,educabase-otros-03-2024-2025
2024-2025,country,España,mujer,E. Primaria 5.º,2032,educabase-otros-03-2024-2025
2024-2025,country,España,mujer,E. Primaria 6.º,2101,educabase-otros-03-2024-2025
2024-2025,country,España,mujer,TOTAL ESO,10032,educabase-otros-03-2024-2025
2024-2025,country,España,mujer,1º E.S.O.,2101,educabase-otros-03-2024-2025
2024-2025,country,España,mujer,2º E.S.O.,2770,educabase-otros-03-2024-2025
2024-2025,country,España,mujer,3º E.S.O.,2525,educabase-otros-03-2024-2025
2024-2025,country,España,mujer,4º E.S.O.,2636,educabase-otros-03-2024-2025
2024-2025,country,España,mujer,BACHILLERATO,3792,educabase-otros-03-2024-2025
2024-2025,country,España,mujer,FP BÁSICA,5,educabase-otros-03-2024-2025
2024-2025,country,España,mujer,FP GRADO MEDIO,50,educabase-otros-03-2024-2025
2024-2025,country,España,mujer,FP GRADO SUPERIOR,119,educabase-otros-03-2024-2025
2024-2025,ccaa,Andalucía,total,TOTAL,21507,educabase-otros-03-2024-2025
2024-2025,ccaa,Andalucía,total,E. INFANTIL 2.º CICLO,63,educabase-otros-03-2024-2025
2024-2025,ccaa,Andalucía,total,TOTAL PRIMARIA,8247,educabase-otros-03-2024-2025
2024-2025,ccaa,Andalucía,total,E. Primaria 1.º,586,educabase-otros-03-2024-2025
2024-2025,ccaa,Andalucía,total,E. Primaria 2.º,1205,educabase-otros-03-2024-2025
2024-2025,ccaa,Andalucía,total,E. Primaria 3.º,1447,educabase-otros-03-2024-2025
2024-2025,ccaa,Andalucía,total,E. Primaria 4.º,1488,educabase-otros-03-2024-2025
2024-2025,ccaa,Andalucía,total,E. Primaria 5.º,1610,educabase-otros-03-2024-2025
2024-2025,ccaa,Andalucía,total,E. Primaria 6.º,1911,educabase-otros-03-2024-2025
2024-2025,ccaa,Andalucía,total,TOTAL ESO,8583,educabase-otros-03-2024-2025
2024-2025,ccaa,Andalucía,total,1º E.S.O.,1524,educabase-otros-03-2024-2025
2024-2025,ccaa,Andalucía,total,2º E.S.O.,2234,educabase-otros-03-2024-2025
2024-2025,ccaa,Andalucía,total,3º E.S.O.,2341,educabase-otros-03-2024-2025
2024-2025,ccaa,Andalucía,total,4º E.S.O.,2484,educabase-otros-03-2024-2025
2024-2025,ccaa,Andalucía,total,BACHILLERATO,4517,educabase-otros-03-2024-2025
2024-2025,ccaa,Andalucía,total,FP BÁSICA,22,educabase-otros-03-2024-2025
2024-2025,ccaa,Andalucía,total,FP GRADO MEDIO,18,educabase-otros-03-2024-2025
2024-2025,ccaa,Andalucía,total,FP GRADO SUPERIOR,57,educabase-otros-03-2024-2025
2024-2025,ccaa,Andalucía,hombre,TOTAL,13294,educabase-otros-03-2024-2025
2024-2025,ccaa,Andalucía,hombre,E. INFANTIL 2.º CICLO,48,educabase-otros-03-2024-2025
2024-2025,ccaa,Andalucía,hombre,TOTAL PRIMARIA,5194,educabase-otros-03-2024-2025
2024-2025,ccaa,Andalucía,hombre,E. Primaria 1.º,380,educabase-otros-03-2024-2025
2024-2025,ccaa,Andalucía,hombre,E. Primaria 2.º,752,educabase-otros-03-2024-2025
2024-2025,ccaa,Andalucía,hombre,E. Primaria 3.º,909,educabase-otros-03-2024-2025
2024-2025,ccaa,Andalucía,hombre,E. Primaria 4.º,952,educabase-otros-03-2024-2025
2024-2025,ccaa,Andalucía,hombre,E. Primaria 5.º,1005,educabase-otros-03-2024-2025
2024-2025,ccaa,Andalucía,hombre,E. Primaria 6.º,1196,educabase-otros-03-2024-2025
2024-2025,ccaa,Andalucía,hombre,TOTAL ESO,5260,educabase-otros-03-2024-2025
2024-2025,ccaa,Andalucía,hombre,1º E.S.O.,973,educabase-otros-03-2024-2025
2024-2025,ccaa,Andalucía,hombre,2º E.S.O.,1399,educabase-otros-03-2024-2025
2024-2025,ccaa,Andalucía,hombre,3º E.S.O.,1426,educabase-otros-03-2024-2025
2024-2025,ccaa,Andalucía,hombre,4º E.S.O.,1462,educabase-otros-03-2024-2025
2024-2025,ccaa,Andalucía,hombre,BACHILLERATO,2713,educabase-otros-03-2024-2025
2024-2025,ccaa,Andalucía,hombre,FP BÁSICA,20,educabase-otros-03-2024-2025
2024-2025,ccaa,Andalucía,hombre,FP GRADO MEDIO,16,educabase-otros-03-2024-2025
2024-2025,ccaa,Andalucía,hombre,FP GRADO SUPERIOR,43,educabase-otros-03-2024-2025
2024-2025,ccaa,Andalucía,mujer,TOTAL,8213,educabase-otros-03-2024-2025
2024-2025,ccaa,Andalucía,mujer,E. INFANTIL 2.º CICLO,15,educabase-otros-03-2024-2025
2024-2025,ccaa,Andalucía,mujer,TOTAL PRIMARIA,3053,educabase-otros-03-2024-2025
2024-2025,ccaa,Andalucía,mujer,E. Primaria 1.º,206,educabase-otros-03-2024-2025
2024-2025,ccaa,Andalucía,mujer,E. Primaria 2.º,453,educabase-otros-03-2024-2025
2024-2025,ccaa,Andalucía,mujer,E. Primaria 3.º,538,educabase-otros-03-2024-2025
2024-2025,ccaa,Andalucía,mujer,E. Primaria 4.º,536,educabase-otros-03-2024-2025
2024-2025,ccaa,Andalucía,mujer,E. Primaria 5.º,605,educabase-otros-03-2024-2025
2024-2025,ccaa,Andalucía,mujer,E. Primaria 6.º,715,educabase-otros-03-2024-2025
2024-2025,ccaa,Andalucía,mujer,TOTAL ESO,3323,educabase-otros-03-2024-2025
2024-2025,ccaa,Andalucía,mujer,1º E.S.O.,551,educabase-otros-03-2024-2025
2024-2025,ccaa,Andalucía,mujer,2º E.S.O.,835,educabase-otros-03-2024-2025
2024-2025,ccaa,Andalucía,mujer,3º E.S.O.,915,educabase-otros-03-2024-2025
2024-2025,ccaa,Andalucía,mujer,4º E.S.O.,1022,educabase-otros-03-2024-2025
2024-2025,ccaa,Andalucía,mujer,BACHILLERATO,1804,educabase-otros-03-2024-2025
2024-2025,ccaa,Andalucía,mujer,FP BÁSICA,2,educabase-otros-03-2024-2025
2024-2025,ccaa,Andalucía,mujer,FP GRADO MEDIO,2,educabase-otros-03-2024-2025
2024-2025,ccaa,Andalucía,mujer,FP GRADO SUPERIOR,14,educabase-otros-03-2024-2025
2024-2025,province,Almería,total,TOTAL,1018,educabase-otros-03-2024-2025
2024-2025,province,Almería,total,E. INFANTIL 2.º CICLO,1,educabase-otros-03-2024-2025
2024-2025,province,Almería,total,TOTAL PRIMARIA,402,educabase-otros-03-2024-2025
2024-2025,province,Almería,total,E. Primaria 1.º,31,educabase-otros-03-2024-2025
2024-2025,province,Almería,total,E. Primaria 2.º,55,educabase-otros-03-2024-2025
2024-2025,province,Almería,total,E. Primaria 3.º,68,educabase-otros-03-2024-2025
2024-2025,province,Almería,total,E. Primaria 4.º,68,educabase-otros-03-2024-2025
2024-2025,province,Almería,total,E. Primaria 5.º,87,educabase-otros-03-2024-2025
2024-2025,province,Almería,total,E. Primaria 6.º,93,educabase-otros-03-2024-2025
2024-2025,province,Almería,total,TOTAL ESO,385,educabase-otros-03-2024-2025
2024-2025,province,Almería,total,1º E.S.O.,65,educabase-otros-03-2024-2025
2024-2025,province,Almería,total,2º E.S.O.,84,educabase-otros-03-2024-2025
2024-2025,province,Almería,total,3º E.S.O.,108,educabase-otros-03-2024-2025
2024-2025,province,Almería,total,4º E.S.O.,128,educabase-otros-03-2024-2025
2024-2025,province,Almería,total,BACHILLERATO,227,educabase-otros-03-2024-2025
2024-2025,province,Almería,total,FP BÁSICA,1,educabase-otros-03-2024-2025
2024-2025,province,Almería,total,FP GRADO MEDIO,1,educabase-otros-03-2024-2025
2024-2025,province,Almería,total,FP GRADO SUPERIOR,1,educabase-otros-03-2024-2025
2024-2025,province,Almería,hombre,TOTAL,612,educabase-otros-03-2024-2025
2024-2025,province,Almería,hombre,E. INFANTIL 2.º CICLO,1,educabase-otros-03-2024-2025
2024-2025,province,Almería,hombre,TOTAL PRIMARIA,244,educabase-otros-03-2024-2025
2024-2025,province,Almería,hombre,E. Primaria 1.º,17,educabase-otros-03-2024-2025
2024-2025,province,Almería,hombre,E. Primaria 2.º,34,educabase-otros-03-2024-2025
2024-2025,province,Almería,hombre,E. Primaria 3.º,43,educabase-otros-03-2024-2025
