course,geoLevel,geoName,sex,stage,value,sourceId
2022-2023,country,España,total,TOTAL,8322873,educabase-general-1-01-2022-2023
2022-2023,country,España,total,E. Primaria,2786723,educabase-general-1-01-2022-2023
2022-2023,country,España,total,ESO,2085751,educabase-general-1-01-2022-2023
2022-2023,country,España,total,Bachillerato (1),661480,educabase-general-1-01-2022-2023
2022-2023,ccaa,Andalucía,total,TOTAL,1604005,educabase-general-1-01-2022-2023
2022-2023,ccaa,Andalucía,total,E. Primaria,531221,educabase-general-1-01-2022-2023
2022-2023,ccaa,Andalucía,total,ESO,411932,educabase-general-1-01-2022-2023
2022-2023,ccaa,Andalucía,total,Bachillerato (1),125444,educabase-general-1-01-2022-2023
2022-2023,ccaa,Aragón,total,TOTAL,221919,educabase-general-1-01-2022-2023
2022-2023,ccaa,Aragón,total,E. Primaria,76704,educabase-general-1-01-2022-2023
2022-2023,ccaa,Aragón,total,ESO,55087,educabase-general-1-01-2022-2023
2022-2023,ccaa,Aragón,total,Bachillerato (1),16922,educabase-general-1-01-2022-2023
2022-2023,ccaa,Principado de Asturias,total,TOTAL,134548,educabase-general-1-01-2022-2023
2022-2023,ccaa,Principado de Asturias,total,E. Primaria,44826,educabase-general-1-01-2022-2023
2022-2023,ccaa,Principado de Asturias,total,ESO,35216,educabase-general-1-01-2022-2023
2022-2023,ccaa,Principado de Asturias,total,Bachillerato (1),12770,educabase-general-1-01-2022-2023
2022-2023,ccaa,Illes Balears,total,TOTAL,195466,educabase-general-1-01-2022-2023
2022-2023,ccaa,Illes Balears,total,E. Primaria,70209,educabase-general-1-01-2022-2023
2022-2023,ccaa,Illes Balears,total,ESO,50754,educabase-general-1-01-2022-2023
2022-2023,ccaa,Illes Balears,total,Bachillerato (1),13575,educabase-general-1-01-2022-2023
2022-2023,ccaa,Canarias,total,TOTAL,336583,educabase-general-1-01-2022-2023
2022-2023,ccaa,Canarias,total,E. Primaria,107898,educabase-general-1-01-2022-2023
2022-2023,ccaa,Canarias,total,ESO,86692,educabase-general-1-01-2022-2023
2022-2023,ccaa,Canarias,total,Bachillerato (1),32592,educabase-general-1-01-2022-2023
2022-2023,ccaa,Cantabria,total,TOTAL,93290,educabase-general-1-01-2022-2023
2022-2023,ccaa,Cantabria,total,E. Primaria,30929,educabase-general-1-01-2022-2023
2022-2023,ccaa,Cantabria,total,ESO,23776,educabase-general-1-01-2022-2023
2022-2023,ccaa,Cantabria,total,Bachillerato (1),7930,educabase-general-1-01-2022-2023
2022-2023,ccaa,Castilla y León,total,TOTAL,345927,educabase-general-1-01-2022-2023
2022-2023,ccaa,Castilla y León,total,E. Primaria,117721,educabase-general-1-01-2022-2023
2022-2023,ccaa,Castilla y León,total,ESO,86650,educabase-general-1-01-2022-2023
2022-2023,ccaa,Castilla y León,total,Bachillerato (1),30541,educabase-general-1-01-2022-2023
2022-2023,ccaa,Castilla-La Mancha,total,TOTAL,363416,educabase-general-1-01-2022-2023
2022-2023,ccaa,Castilla-La Mancha,total,E. Primaria,126205,educabase-general-1-01-2022-2023
2022-2023,ccaa,Castilla-La Mancha,total,ESO,93377,educabase-general-1-01-2022-2023
2022-2023,ccaa,Castilla-La Mancha,total,Bachillerato (1),29247,educabase-general-1-01-2022-2023
