course,ccaa,identificados,matriculados,tasa
2022-2023,Principado de Asturias,1992,134548,0.014805
2022-2023,Illes Balears,2545,195466,0.01302
2022-2023,Andalucía,20352,1604005,0.012688
2022-2023,Región de Murcia,3185,305136,0.010438
2022-2023,Comunidad Foral de Navarra,846,117805,0.007181
2022-2023,Galicia,2763,401909,0.006875
2022-2023,Canarias,2231,336583,0.006628
2022-2023,La Rioja,375,56701,0.006614
2022-2023,Cantabria,537,93290,0.005756
2022-2023,Castilla y León,1554,345927,0.004492
2022-2023,País Vasco,1623,366001,0.004434
2022-2023,Comunidad de Madrid,5376,1247153,0.004311
2022-2023,Extremadura,662,171081,0.00387
2022-2023,Castilla-La Mancha,1032,363416,0.00284
2022-2023,Cataluña,3814,1419499,0.002687
2022-2023,Comunitat Valenciana,2260,902378,0.002504
2022-2023,Ceuta,41,19370,0.002117
2022-2023,Melilla,23,20686,0.001112
2022-2023,Aragón,185,221919,0.000834
2023-2024,Principado de Asturias,2572,132678,0.019385
2023-2024,Illes Balears,3128,197042,0.015875
2023-2024,La Rioja,769,57051,0.013479
2023-2024,Andalucía,21366,1593737,0.013406
2023-2024,Región de Murcia,3479,308963,0.01126
2023-2024,Comunidad Foral de Navarra,1039,118672,0.008755
2023-2024,Galicia,3235,403295,0.008021
2023-2024,País Vasco,2843,366344,0.00776
2023-2024,Cantabria,689,93407,0.007376
2023-2024,Canarias,2309,335080,0.006891
2023-2024,Castilla y León,1788,347798,0.005141
2023-2024,Comunidad de Madrid,6063,1255383,0.00483
2023-2024,Extremadura,703,170786,0.004116
2023-2024,Comunitat Valenciana,3307,913637,0.00362
2023-2024,Cataluña,4200,1418478,0.002961
2023-2024,Ceuta,47,18855,0.002493
2023-2024,Castilla-La Mancha,684,364011,0.001879
2023-2024,Melilla,27,20413,0.001323
2023-2024,Aragón,292,221907,0.001316
2024-2025,Principado de Asturias,2946,132157,0.022292
2024-2025,Illes Balears,3703,198140,0.018689
2024-2025,La Rioja,866,57081,0.015171
2024-2025,Andalucía,21507,1580526,0.013607
2024-2025,País Vasco,4685,362460,0.012926
2024-2025,Región de Murcia,3936,312551,0.012593
2024-2025,Comunidad Foral de Navarra,1269,119005,0.010663
2024-2025,Cantabria,946,92611,0.010215
2024-2025,Galicia,3626,404627,0.008961
2024-2025,Canarias,2219,330648,0.006711
2024-2025,Castilla-La Mancha,2299,363397,0.006326
2024-2025,Comunidad de Madrid,7663,1259864,0.006082
2024-2025,Castilla y León,2099,349752,0.006001
2024-2025,Comunitat Valenciana,4527,922758,0.004906
2024-2025,Extremadura,762,169088,0.004507
2024-2025,Cataluña,4295,1403107,0.003061
2024-2025,Ceuta,50,18715,0.002672
2024-2025,Aragón,408,222216,0.001836
2024-2025,Melilla,26,20326,0.001279
